地域階層コード,地域コード,地域名,性別コード,性別区分,2020年,2025年,2030年,2035年,2040年,2045年
0,13000,東京都,0,男女計,14047594,14214308,14264859,14206774,14033782,13841579
1,13100,区部,0,男女計,9733276,9888783,10006402,10049361,10006622,9945203
3,13101,千代田区,0,男女計,66680,72481,77367,81358,84306,86826
3,13102,中央区,0,男女計,169179,181935,199826,214760,225912,234962
3,13103,港区,0,男女計,260486,278070,284839,289710,292016,294225
3,13104,新宿区,0,男女計,349385,357642,357597,355761,351157,347231
3,13105,文京区,0,男女計,240069,249561,260067,268227,273208,276785
3,13106,台東区,0,男女計,211444,221969,226179,227793,227433,225370
3,13107,墨田区,0,男女計,272085,283686,288943,291760,292008,291828
3,13108,江東区,0,男女計,524310,546485,554160,557679,556968,555480
3,13109,品川区,0,男女計,422488,428299,446545,460208,468366,474570
3,13110,目黒区,0,男女計,288088,288010,288916,288100,285328,282831
3,13111,大田区,0,男女計,748081,750989,757846,757616,750472,741364
3,13112,世田谷区,0,男女計,943664,943451,952505,957861,957012,957079
3,13113,渋谷区,0,男女計,243883,248030,256185,262095,264832,267213
3,13114,中野区,0,男女計,344880,350528,352973,353309,350883,349013
3,13115,杉並区,0,男女計,591108,595212,603358,608260,607854,606443
3,13116,豊島区,0,男女計,301599,309947,307238,303914,298810,294781
3,13117,北区,0,男女計,355213,362213,365092,366051,364500,362746
3,13118,荒川区,0,男女計,217475,220869,219267,216778,213223,210078
3,13119,板橋区,0,男女計,584483,592913,597118,596487,590441,582855
3,13120,練馬区,0,男女計,752608,758239,767936,771356,767740,760615
3,13121,足立区,0,男女計,695043,699997,699866,691927,677420,660409
3,13122,葛飾区,0,男女計,453093,458846,455892,449757,440756,430939
3,13123,江戸川区,0,男女計,697932,689411,686687,678594,665977,651560
1,13500,多摩・島しょ,0,男女計,4314318,4325525,4258457,4157413,4027160,3896376
2,13200,市部,0,男女計,4234381,4251113,4190415,4095823,3971608,3845712
3,13201,八王子市,0,男女計,579355,578067,558242,534679,507813,483316
3,13202,立川市,0,男女計,183581,187751,188508,187907,186030,184151
3,13203,武蔵野市,0,男女計,150149,151256,152375,152221,150619,148360
3,13204,三鷹市,0,男女計,195391,197665,199932,200149,198138,194963
3,13205,青梅市,0,男女計,133535,128522,120898,112199,102973,94912
3,13206,府中市,0,男女計,262790,261801,257654,252007,244787,237224
3,13207,昭島市,0,男女計,113949,115191,114252,112071,108916,105430
3,13208,調布市,0,男女計,242614,248883,253802,256086,255533,253395
3,13209,町田市,0,男女計,431079,430444,415374,397167,377528,358840
3,13210,小金井市,0,男女計,126074,128390,129230,129288,128212,126727
3,13211,小平市,0,男女計,198739,204192,205178,204392,201446,197870
3,13212,日野市,0,男女計,190435,191640,189956,186665,182048,177201
3,13213,東村山市,0,男女計,151815,151867,149236,145171,139908,134294
3,13214,国分寺市,0,男女計,129242,134007,136101,136867,136178,134738
3,13215,国立市,0,男女計,77130,77877,78522,78177,76776,74831
3,13218,福生市,0,男女計,56414,54920,51906,49369,47152,45493
3,13219,狛江市,0,男女計,84772,85258,86719,87326,87072,86380
3,13220,東大和市,0,男女計,83901,82234,78955,75179,71217,67472
3,13221,清瀬市,0,男女計,76208,75451,74199,72291,69836,67288
3,13222,東久留米市,0,男女計,115271,113619,109135,104061,98752,93702
3,13223,武蔵村山市,0,男女計,70829,69187,66749,63864,60879,58095
3,13224,多摩市,0,男女計,146951,146785,141808,135301,127966,121187
3,13225,稲城市,0,男女計,93151,96266,98299,99140,98902,98202
3,13227,羽村市,0,男女計,54326,53116,49967,46619,43272,40255
3,13228,あきる野市,0,男女計,79292,77134,72964,68254,63436,59373
3,13229,西東京市,0,男女計,207388,209590,210454,209373,206219,202013
2,13300,郡部,0,男女計,55476,52132,48155,43744,39496,36033
3,13303,瑞穂町,0,男女計,31765,29880,27728,25357,23008,20963
3,13305,日の出町,0,男女計,16958,16292,15236,13915,12680,11822
